"osm_id","lat","lon"
1241189728,-31.75991600,-52.34248750
1241491563,-31.76576500,-52.35750140
1675174835,-31.76285330,-52.33770110
1675174843,-31.76337610,-52.34272690
1675174890,-31.76617450,-52.33741270
1675174933,-31.76859410,-52.33945880
1675174949,-31.76966840,-52.33575340
1675174980,-31.77118330,-52.33945680
1675174988,-31.77156500,-52.34500850
1675175182,-31.77875630,-52.33950640
1675175219,-31.78060420,-52.34027300
1890943891,-31.74322760,-52.33439080
2353137320,-31.76809840,-52.34116160
2472203257,-31.77070660,-52.34031710
2535986454,-31.76926280,-52.34133060
3662678113,-31.77002980,-52.34309300
3708126536,-31.72847970,-52.38365120
4777841139,-31.77702330,-52.33108610
5984434509,-31.75487390,-52.34647510
7811195941,-31.76566940,-52.35208640
7918915402,-31.75663110,-52.30500840
